Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Andy Lee,ARI,@ SEA,W  26-24,6,319,53.2,40.0,2,0,63,0
Pat O'Donnell,CHI,@ MIN,L  10-23,7,363,51.9,44.6,0,0,57,0
Dustin Colquitt,KC,@ DEN,W  27-24,5,256,51.2,46.0,1,1,77,0
Shane Lechler,HOU,@ IND,L  13-22,4,201,50.3,37.0,0,2,58,0
Bryan Anger,TB,vs NO,W  31-24,2,100,50.0,53.5,0,2,54,0
Johnny Hekker,LA,vs SF,L  13-34,7,341,48.7,44.1,0,2,58,0
Tress Way,WAS,@ NYG,L  10-18,9,426,47.3,43.9,0,4,54,0
Michael Palardy,CAR,@ ATL,L  10-22,7,329,47.0,44.4,0,0,60,0
Rigoberto Sanchez,IND,vs HOU,W  22-13,5,235,47.0,47.6,0,3,50,0
Matt Bosher,ATL,vs CAR,W  22-10,5,233,46.6,43.6,0,2,54,0
Matt Haack,MIA,vs BUF,L  16-22,4,186,46.5,43.0,0,1,55,0
Colton Schmidt,BUF,@ MIA,W  22-16,4,186,46.5,38.5,1,1,50,0
Lachlan Edwards,NYJ,@ NE,L  6-26,7,324,46.3,40.0,1,2,54,0
Thomas Morstead,NO,@ TB,L  24-31,4,185,46.3,46.3,0,3,47,0
Marquette King,OAK,@ LAC,L  10-30,3,136,45.3,45.3,0,1,50,0
Ryan Quigley,MIN,vs CHI,W  23-10,8,358,44.8,35.8,0,5,56,0
Justin Vogel,GB,@ DET,L  11-35,6,269,44.8,36.3,1,1,58,0
Chris Jones,DAL,@ PHI,W  6-0,8,356,44.5,38.1,2,4,55,0
Sam Martin,DET,vs GB,W  35-11,6,266,44.3,33.3,1,1,55,0
Bradley Pinion,SF,@ LA,W  34-13,2,87,43.5,40.5,0,0,51,0
Jon Ryan,SEA,vs ARI,L  24-26,8,348,43.5,39.0,1,2,60,0
Kevin Huber,CIN,@ BAL,W  31-27,8,342,42.8,37.5,0,0,55,0
Donnie Jones,PHI,vs DAL,L  0-6,7,299,42.7,41.0,0,3,55,0
Brett Kern,TEN,vs JAX,W  15-10,9,383,42.6,41.1,0,4,70,0
Ryan Allen,NE,vs NYJ,W  26-6,8,338,42.3,41.8,0,5,53,0
Brad Nortman,JAX,@ TEN,L  10-15,8,336,42.0,34.6,2,2,54,0
Sam Koch,BAL,vs CIN,L  27-31,8,333,41.6,38.5,0,3,51,0
Britton Colquitt,CLE,@ PIT,L  24-28,5,205,41.0,38.8,0,1,50,0
Brad Wing,NYG,vs WAS,W  18-10,9,363,40.3,33.0,1,1,51,0
Riley Dixon,DEN,vs KC,L  24-27,4,157,39.3,40.0,0,2,49,0
Jordan Berry,PIT,vs CLE,W  28-24,4,144,36.0,36.5,0,2,46,0
Drew Kaser,LAC,vs OAK,W  30-10,2,63,31.5,31.5,0,2,33,0
